annuel	taille	region	Agriculture, forêt et pêche	BTP	Commerce	Enseignement	Hébérgement et restauration	Industries	Santé humaine et action sociale	Services	Transport
2020	10-49 salariés	 Marrakech-Safi	69	487	483	202	414	181	83	509	143
2020	10-49 salariés	 Rabat-Salé-Kénitra	170	763	670	405	337	358	162	932	109
2020	10-49 salariés	 Souss-Massa	341	372	439	163	197	189	65	307	179
2020	10-49 salariés	Béni Mellal-Khénifra	38	223	115	108	35	55	41	58	16
2020	10-49 salariés	Drâa-Tafilalet	13	274	82	41	68	26	14	45	27
2020	10-49 salariés	Eddakhla-Oued Eddahab	19	28	37	12	9	35	2	17	9
2020	10-49 salariés	Fès-Meknès	115	549	426	331	190	286	82	263	58
2020	10-49 salariés	Grand Casablanca-Settat	111	1598	2986	785	578	1710	269	2442	760
2020	10-49 salariés	Guelmim-Oued Noun	6	35	16	18	8	16	6	5	8
2020	10-49 salariés	Laayoune-Sakia El Hamra	9	139	58	32	10	29	3	57	31
2020	10-49 salariés	Oriental	46	279	242	131	123	166	42	157	65
2020	10-49 salariés	Tanger-Tetouan-Al Hoceima	83	438	468	184	241	458	91	409	285
2020	50-199 salariés	 Marrakech-Safi	30	101	66	58	95	67	17	67	13
2020	50-199 salariés	 Rabat-Salé-Kénitra	79	175	123	103	33	101	34	241	20
2020	50-199 salariés	 Souss-Massa	134	51	73	48	34	40	9	76	23
2020	50-199 salariés	Béni Mellal-Khénifra	11	29	18	11	1	10	1	6	3
2020	50-199 salariés	Drâa-Tafilalet	8	47	3	2	7	3	0	6	3
2020	50-199 salariés	Eddakhla-Oued Eddahab	3	4	10	4	5	8	0	5	4
2020	50-199 salariés	Fès-Meknès	30	108	48	58	23	118	9	39	9
2020	50-199 salariés	Grand Casablanca-Settat	36	361	534	234	73	613	54	542	127
2020	50-199 salariés	Guelmim-Oued Noun	1	5	5	2	0	2	0	0	0
2020	50-199 salariés	Laayoune-Sakia El Hamra	6	32	17	3	2	17	1	24	9
2020	50-199 salariés	Oriental	16	36	21	16	1	50	4	34	5
2020	50-199 salariés	Tanger-Tetouan-Al Hoceima	31	69	71	48	26	263	12	78	37
2020	200-499 salariés	 Marrakech-Safi	11	21	5	2	15	17	2	16	8
2020	200-499 salariés	 Rabat-Salé-Kénitra	18	45	23	4	8	36	3	74	5
2020	200-499 salariés	 Souss-Massa	56	11	17	0	14	10	0	23	4
2020	200-499 salariés	Béni Mellal-Khénifra	1	4	1	0	0	0	0	1	1
2020	200-499 salariés	Drâa-Tafilalet	4	7	1	0	1	0	0	0	2
2020	200-499 salariés	Eddakhla-Oued Eddahab	6	1	2	0	0	0	0	1	0
2020	200-499 salariés	Fès-Meknès	11	14	12	1	3	43	0	24	2
2020	200-499 salariés	Grand Casablanca-Settat	16	59	103	11	12	153	10	148	19
2020	200-499 salariés	Guelmim-Oued Noun	1	0	0	0	1	3	0	0	0
2020	200-499 salariés	Laayoune-Sakia El Hamra	2	9	5	0	0	5	0	2	0
2020	200-499 salariés	Oriental	2	9	6	1	2	8	0	11	3
2020	200-499 salariés	Tanger-Tetouan-Al Hoceima	7	9	16	1	5	122	0	15	9
2020	500 salariés et plus	 Marrakech-Safi	7	6	4	1	3	8	0	6	2
2020	500 salariés et plus	 Rabat-Salé-Kénitra	16	19	15	1	1	18	1	53	2
2020	500 salariés et plus	 Souss-Massa	42	5	9	0	1	11	0	11	0
2020	500 salariés et plus	Béni Mellal-Khénifra	2	2	0	0	0	0	0	0	0
2020	500 salariés et plus	Drâa-Tafilalet	0	5	0	0	0	0	0	1	0
2020	500 salariés et plus	Eddakhla-Oued Eddahab	2	0	2	0	0	0	0	1	0
2020	500 salariés et plus	Fès-Meknès	8	8	2	0	2	13	0	10	0
2020	500 salariés et plus	Grand Casablanca-Settat	9	38	31	2	10	63	3	136	11
2020	500 salariés et plus	Guelmim-Oued Noun	2	0	0	0	0	2	0	0	0
2020	500 salariés et plus	Laayoune-Sakia El Hamra	1	0	0	0	0	4	0	3	0
2020	500 salariés et plus	Oriental	1	5	2	0	0	4	0	1	0
2020	500 salariés et plus	Tanger-Tetouan-Al Hoceima	9	3	17	0	0	69	0	8	5
2021	1-9 salariés	 Marrakech-Safi	1967	2598	3291	320	1649	644	614	3355	488
2021	1-9 salariés	 Rabat-Salé-Kénitra	1231	3746	5361	552	2231	1000	991	5007	928
2021	1-9 salariés	 Souss-Massa	2114	1706	3035	344	857	765	545	2239	1136
2021	1-9 salariés	Béni Mellal-Khénifra	361	1316	1508	221	640	350	245	896	137
2021	1-9 salariés	Drâa-Tafilalet	354	1387	919	88	335	169	129	552	329
2021	1-9 salariés	Eddakhla-Oued Eddahab	3221	142	225	12	44	50	9	142	46
2021	1-9 salariés	Fès-Meknès	378	2860	3482	349	1577	891	585	2120	498
2021	1-9 salariés	Grand Casablanca-Settat	1818	7229	15570	806	4269	4104	2056	11673	2841
2021	1-9 salariés	Guelmim-Oued Noun	693	264	215	23	59	55	31	166	61
2021	1-9 salariés	Laayoune-Sakia El Hamra	2725	529	404	38	90	89	18	230	152
2021	1-9 salariés	Oriental	1264	1417	2160	217	873	482	365	1497	602
2021	1-9 salariés	Tanger-Tetouan-Al Hoceima	2251	2062	3605	360	1330	1021	535	2715	1543
2021	10-49 salariés	 Marrakech-Safi	77	549	494	228	353	182	98	519	98
2021	10-49 salariés	 Rabat-Salé-Kénitra	200	781	708	405	353	391	170	980	128
2021	10-49 salariés	 Souss-Massa	374	409	478	176	186	211	70	312	187
2021	10-49 salariés	Béni Mellal-Khénifra	43	231	117	110	31	54	40	81	15
2021	10-49 salariés	Drâa-Tafilalet	19	326	88	45	45	27	17	74	20
2021	10-49 salariés	Eddakhla-Oued Eddahab	19	33	49	10	11	35	1	17	7
2021	10-49 salariés	Fès-Meknès	109	608	454	332	198	312	96	296	69
2021	10-49 salariés	Grand Casablanca-Settat	123	1728	3166	817	577	1765	298	2520	780
2021	10-49 salariés	Guelmim-Oued Noun	6	36	16	17	9	21	5	23	8
2021	10-49 salariés	Laayoune-Sakia El Hamra	13	162	65	33	10	35	4	69	30
2021	10-49 salariés	Oriental	53	283	253	129	137	188	51	182	66
2021	10-49 salariés	Tanger-Tetouan-Al Hoceima	104	461	520	190	234	476	91	444	331
2021	50-199 salariés	 Marrakech-Safi	32	108	67	54	80	65	17	88	15
2021	50-199 salariés	 Rabat-Salé-Kénitra	77	196	124	94	36	93	36	224	19
2021	50-199 salariés	 Souss-Massa	142	56	75	49	34	38	11	72	26
2021	50-199 salariés	Béni Mellal-Khénifra	11	27	19	11	2	12	3	5	3
2021	50-199 salariés	Drâa-Tafilalet	6	43	5	2	6	3	1	8	3
2021	50-199 salariés	Eddakhla-Oued Eddahab	3	4	10	2	5	12	0	4	8
2021	50-199 salariés	Fès-Meknès	34	105	58	57	18	118	11	49	10
2021	50-199 salariés	Grand Casablanca-Settat	37	347	557	241	77	611	52	566	122
2021	50-199 salariés	Guelmim-Oued Noun	1	6	7	2	0	1	0	0	1
2021	50-199 salariés	Laayoune-Sakia El Hamra	7	32	18	3	2	18	1	24	11
2021	50-199 salariés	Oriental	16	38	26	21	2	47	5	32	4
2021	50-199 salariés	Tanger-Tetouan-Al Hoceima	36	66	79	53	30	287	15	104	42
2021	200-499 salariés	 Marrakech-Safi	8	23	5	1	14	15	2	8	6
2021	200-499 salariés	 Rabat-Salé-Kénitra	18	44	29	6	6	43	2	86	8
2021	200-499 salariés	 Souss-Massa	55	11	17	1	12	11	0	23	3
2021	200-499 salariés	Béni Mellal-Khénifra	0	1	0	0	0	0	0	1	1
2021	200-499 salariés	Drâa-Tafilalet	8	8	0	0	1	0	0	0	2
2021	200-499 salariés	Eddakhla-Oued Eddahab	4	2	3	0	0	2	0	1	0
2021	200-499 salariés	Fès-Meknès	12	16	11	0	3	40	0	22	4
2021	200-499 salariés	Grand Casablanca-Settat	18	71	96	12	10	143	12	157	25
2021	200-499 salariés	Guelmim-Oued Noun	0	0	0	0	1	2	0	0	0
2021	200-499 salariés	Laayoune-Sakia El Hamra	2	9	7	0	0	6	0	2	1
2021	200-499 salariés	Oriental	1	12	7	1	3	13	0	12	4
2021	200-499 salariés	Tanger-Tetouan-Al Hoceima	3	11	14	1	3	119	0	18	10
