annuel	taille	region	Agriculture, forêt et pêche	BTP	Commerce	Enseignement	Hébérgement et restauration	Industries	Santé humaine et action sociale	Services	Transport
2021	10-49 salariés	Béni Mellal-Khénifra	0	3	2	1	2	1	0	2	0
2021	10-49 salariés	Drâa-Tafilalet	0	3	0	0	9	1	0	0	5
2021	10-49 salariés	Eddakhla-Oued Eddahab	0	2	0	2	1	1	2	2	1
2021	10-49 salariés	Fès-Meknès	4	12	5	12	11	9	0	8	0
2021	10-49 salariés	Grand Casablanca-Settat	3	51	58	15	44	48	6	108	25
2021	10-49 salariés	Guelmim-Oued Noun	0	0	0	0	0	0	1	0	0
2021	10-49 salariés	Laayoune-Sakia El Hamra	0	1	0	3	1	1	0	0	2
2021	10-49 salariés	Oriental	2	2	5	2	3	4	2	8	2
2021	10-49 salariés	Tanger-Tetouan-Al Hoceima	5	15	7	0	13	18	1	17	7
2021	50-199 salariés	 Marrakech-Safi	0	2	1	0	1	1	0	4	0
2021	50-199 salariés	 Rabat-Salé-Kénitra	1	2	1	0	0	2	0	4	1
2021	50-199 salariés	 Souss-Massa	3	0	2	0	1	0	0	3	0
2021	50-199 salariés	Béni Mellal-Khénifra	0	0	0	0	0	0	0	0	0
2021	50-199 salariés	Drâa-Tafilalet	0	1	0	0	0	0	0	0	0
2021	50-199 salariés	Eddakhla-Oued Eddahab	0	0	0	0	0	0	0	0	0
2021	50-199 salariés	Fès-Meknès	1	1	0	0	1	2	0	0	0
2021	50-199 salariés	Grand Casablanca-Settat	0	3	11	0	2	11	0	15	3
2021	50-199 salariés	Guelmim-Oued Noun	0	0	0	0	0	0	0	0	0
2021	50-199 salariés	Laayoune-Sakia El Hamra	0	0	1	0	0	1	0	0	0
2021	50-199 salariés	Oriental	0	0	0	0	0	0	0	1	0
2021	50-199 salariés	Tanger-Tetouan-Al Hoceima	0	0	2	0	1	6	0	1	1
2021	200-499 salariés	 Marrakech-Safi	1	0	0	0	0	0	0	1	0
2021	200-499 salariés	 Rabat-Salé-Kénitra	0	0	0	0	0	1	0	1	0
2021	200-499 salariés	 Souss-Massa	2	0	1	0	0	1	0	1	0
2021	200-499 salariés	Béni Mellal-Khénifra	0	0	0	0	0	0	0	0	0
2021	200-499 salariés	Drâa-Tafilalet	0	0	0	0	0	0	0	0	0
2021	200-499 salariés	Eddakhla-Oued Eddahab	0	0	0	0	0	0	0	0	0
2021	200-499 salariés	Fès-Meknès	0	0	0	0	0	1	0	0	0
2021	200-499 salariés	Grand Casablanca-Settat	0	1	2	0	0	4	0	2	0
2021	200-499 salariés	Guelmim-Oued Noun	0	0	0	0	0	0	0	0	0
2021	200-499 salariés	Laayoune-Sakia El Hamra	0	0	0	0	0	0	0	0	0
2021	200-499 salariés	Oriental	0	0	0	0	0	0	0	0	0
2021	200-499 salariés	Tanger-Tetouan-Al Hoceima	0	1	0	0	0	1	0	0	0
2021	500 salariés et plus	 Marrakech-Safi	0	0	0	0	0	0	0	0	0
2021	500 salariés et plus	 Rabat-Salé-Kénitra	0	0	0	0	0	0	0	0	0
2021	500 salariés et plus	 Souss-Massa	0	0	0	0	0	0	0	0	0
2021	500 salariés et plus	Béni Mellal-Khénifra	0	0	0	0	0	0	0	0	0
2021	500 salariés et plus	Drâa-Tafilalet	0	0	0	0	0	0	0	0	0
2021	500 salariés et plus	Eddakhla-Oued Eddahab	0	0	0	0	0	0	0	0	0
2021	500 salariés et plus	Fès-Meknès	0	0	0	0	0	0	0	0	0
2021	500 salariés et plus	Grand Casablanca-Settat	0	0	0	0	0	0	0	3	0
2021	500 salariés et plus	Guelmim-Oued Noun	0	0	0	0	0	0	0	0	0
2021	500 salariés et plus	Laayoune-Sakia El Hamra	0	0	0	0	0	0	0	0	0
2021	500 salariés et plus	Oriental	0	0	0	0	0	0	0	0	0
2021	500 salariés et plus	Tanger-Tetouan-Al Hoceima	0	0	0	0	0	1	0	1	0
2022	1-9 salariés	 Marrakech-Safi	211	262	162	17	102	49	20	226	35
2022	1-9 salariés	 Rabat-Salé-Kénitra	84	310	309	55	106	67	15	392	69
2022	1-9 salariés	 Souss-Massa	334	113	127	7	33	37	9	111	84
2022	1-9 salariés	Béni Mellal-Khénifra	11	95	53	15	26	22	9	101	7
2022	1-9 salariés	Drâa-Tafilalet	14	94	38	2	25	12	5	26	21
2022	1-9 salariés	Eddakhla-Oued Eddahab	427	14	29	0	9	7	4	47	3
2022	1-9 salariés	Fès-Meknès	12	237	166	23	61	50	32	123	37
2022	1-9 salariés	Grand Casablanca-Settat	358	615	920	32	185	318	39	830	200
2022	1-9 salariés	Guelmim-Oued Noun	42	31	10	6	2	5	0	32	6
2022	1-9 salariés	Laayoune-Sakia El Hamra	201	73	31	2	4	5	2	41	12
2022	1-9 salariés	Oriental	72	97	108	7	44	31	5	91	42
2022	1-9 salariés	Tanger-Tetouan-Al Hoceima	209	162	167	15	47	76	15	185	120
2022	10-49 salariés	 Marrakech-Safi	5	13	14	6	14	4	0	18	2
2022	10-49 salariés	 Rabat-Salé-Kénitra	9	31	12	13	11	10	3	42	3
2022	10-49 salariés	 Souss-Massa	17	4	7	5	5	4	2	9	4
2022	10-49 salariés	Béni Mellal-Khénifra	1	7	2	0	0	1	3	5	0
2022	10-49 salariés	Drâa-Tafilalet	0	3	1	0	1	1	0	1	0
2022	10-49 salariés	Eddakhla-Oued Eddahab	0	0	2	0	0	0	0	1	1
2022	10-49 salariés	Fès-Meknès	3	18	5	7	3	8	2	8	2
2022	10-49 salariés	Grand Casablanca-Settat	4	58	69	13	24	60	11	77	10
2022	10-49 salariés	Guelmim-Oued Noun	1	2	1	1	0	0	0	9	1
2022	10-49 salariés	Laayoune-Sakia El Hamra	1	8	1	0	0	1	0	4	1
2022	10-49 salariés	Oriental	3	1	9	0	2	4	0	10	2
2022	10-49 salariés	Tanger-Tetouan-Al Hoceima	5	15	6	6	7	20	0	14	4
2022	50-199 salariés	 Marrakech-Safi	0	2	1	0	1	1	0	1	2
2022	50-199 salariés	 Rabat-Salé-Kénitra	0	1	2	0	0	1	0	5	0
2022	50-199 salariés	 Souss-Massa	6	1	1	0	1	1	0	1	1
2022	50-199 salariés	Béni Mellal-Khénifra	0	0	0	0	0	0	0	0	0
