annuel	region	Agriculture, forêt et pêche	BTP	Commerce	Enseignement	Hébérgement et restauration	Industries	Santé humaine et action sociale	Services	Transport
2022	Tanger-Tetouan-Al Hoceima	574308816,9	1156848011	3284457318	462217159,6	485492470,9	7581542491	218729327,3	2196571208	1458166139
2023	 Marrakech-Safi	547936115,9	1463263994	1438499406	1167212215	2114316704	1122175286	348466715,3	2300914480	440941837,7
2023	 Rabat-Salé-Kénitra	1086406647	2930669750	4554617463	1993691528	980947648,4	4272412204	662519790	11645856350	584250197,4
2023	 Souss-Massa	4137301048	800831136,4	1882245517	389626970,9	638505702,1	1028631501	225582545,3	1578484639	547630753,3
2023	Béni Mellal-Khénifra	119661362,7	423128026,3	347685406,7	103740917,5	83362066,1	149357998,8	76081637,9	272086249,9	57138111,74
2023	Drâa-Tafilalet	119457314,3	579470926,7	189396734,2	41345390,3	135465228,8	50620253,35	29057608,24	207994949,8	106572470,5
2023	Eddakhla-Oued Eddahab	797600570,8	130844121,5	196085382,7	13055612,08	43009084,09	132047621,4	1905043,79	80279872,14	41683200,86
2023	Fès-Meknès	474275665,1	1344679166	1309664085	590698315,6	535339595,6	2139345830	233146920,4	1737114122	188637863,1
2023	Grand Casablanca-Settat	804260270	9157013219	20836652427	3036874325	2347686061	17127350987	1856725196	46538901775	5602369008
2023	Guelmim-Oued Noun	225512290,8	59489065,64	54368399,77	15515006,04	14735276,86	151471731,6	8407731,07	42041240,66	14482357,32
2023	Laayoune-Sakia El Hamra	493425234,7	411413416	358272265,9	29855255,33	22512657,2	229237909,8	12386939,67	489196968,9	82806749,02
2023	Oriental	220956494,5	744545310,8	724561651,8	167465181	195860679,3	539618316,2	117887427,8	640699175,6	195734151,6
2023	Tanger-Tetouan-Al Hoceima	535042006,3	1269999017	3741177521	502165796,1	571012391,9	8204827188	245147948,8	2481858785	1621619237
